imageName	name	nameLatin	familyLatin	family	parentFamily	description
benthicPredatoryWrasseHumphead.jpeg	Benthic Predatory			Benthic Predatory		"Large predatory fishes play an important role in marine ecosystems, but overexploitation is gradually diminishing this role/Estimates from 2003 indicate that large predatory fish communities were depleted by at least 90% over the past 50-100 years/These families are particularly good indicators of composition, condition and diversity because:/They are all taxonomically well documented and relatively easy to identify underwater/They include ‘core’ reef species and collectively they comprise more than 50% of the observable fishes/Most of these families are targeted by local fishing pressure/Many are flagship species and so are important for tourism/The strongest responses to MPAs in the Philippines have been found in predatory fishes (groupers and breams) and butterflyfish"
benthicPredatoryEmperorBream.jpeg	Emperor Bream		Lethrinidae	Emperor Bream	Benthic Predatory	"They are benthopelagic, consuming invertebrates and small fishes/Some species have molariform teeth which they use to eat shelled invertebrates/Heavily targeted by fishermen"
benthicPredatoryEmperorBreamHumpnoseBigeye.jpeg	Humpnose Bigeye	Monotaxis grandoculis	Lethrinidae	Emperor Bream	Benthic Predatory	Sandy reef slopes/Max Length 60cm/Solitary or groups
benthicPredatoryEmperorBreamLongface.jpeg	Longface	Lethrinus olivaceus	Lethrinidae	Emperor Bream	Benthic Predatory	Outer slopes/Max Length 100cm/Solitary
benthicPredatoryEmperorBreamMonocle.jpeg/benthicPredatoryEmperorBreamMonocleAlternate.jpeg	Monocle	Scolopsis spp.	Lethrinidae	Emperor Bream	Benthic Predatory	Sandy flats/Max Length 30cm/Solitary or small groups
benthicPredatoryEmperorBreamSpangled.jpeg	Spangled		Lethrinidae	Emperor Bream	Benthic Predatory	
benthicPredatoryEmperorBreamStriped.jpeg	Striped		Lethrinidae	Emperor Bream	Benthic Predatory	
benthicPredatoryEmperorBreamThumbprint.jpeg	Thumbprint		Lethrinidae	Emperor Bream	Benthic Predatory	
benthicPredatoryGrouper.jpeg	Grouper		Serranidae	Grouper	Benthic Predatory	"The giant grouper can reach 2.7m, although many species are small, in some cases <10cm/Naturally rare and very heavily fished in all of its range/All are carnivore, typically ambush predators, although Anthias typically feed on zooplankton "
benthicPredatoryGrouperBarramundi.jpeg/benthicPredatoryGrouperBarramundiCodJuvenile.png	Barramundi Cod	Cromileptes altivelis	Serranidae	Grouper	Benthic Predatory	Silty areas/Max Length 70cm/Solitary and reclusive
benthicPredatoryGrouperBlacksaddleCoral.jpeg/ benthicPredatoryGrouperBlacksaddleCoralAlternate.jpeg	Blacksaddle Coral	Plectropomus laevis	Serranidae	Grouper	Benthic Predatory	Outer reefs/Max Length 125cm/Solitary
benthicPredatoryGrouperBlueSpotted.jpeg	Bluespotted	Cephalopholis cyanostigma	Serranidae	Grouper	Benthic Predatory	Sheltered slopes/Max Length 30cm/Solitary
benthicPredatoryGrouperCoral.jpeg	Coral	Cephalopholis miniata	Serranidae	Grouper	Benthic Predatory	Reef Slopes/Max Length 50cm/Solitary
benthicPredatoryGrouperFlagtail.jpeg	Flagtail	Cephalopholis urodeta	Serranidae	Grouper	Benthic Predatory	Variable habitat/Max Length 28cm/Solitary
benthicPredatoryGrouperGiant.jpeg	Giant		Serranidae	Grouper	Benthic Predatory	
benthicPredatoryGrouperHighfin.jpeg	Highfin	Epinephelus maculatus	Serranidae	Grouper	Benthic Predatory	Open sand bottoms/Max Length 60cm/Solitary
benthicPredatoryGrouperHoneycomb.jpeg	Honeycomb	Epinephelus merra	Serranidae	Grouper	Benthic Predatory	Outer reefs/Max Length 32cm/Solitary
benthicPredatoryGrouperLarge.jpeg/ benthicPredatoryGrouperLargeAlernate.jpeg	Large		Serranidae	Grouper	Benthic Predatory	Coral rich areas/Many larger than 100cm/Solitary
benthicPredatoryGrouperLyreTail.jpeg/ benthicPredatoryGrouperLyreTailAlternate.jpeg	Lyretails	Variola albimarginata & Variola louti	Serranidae	Grouper	Benthic Predatory	Outer reefs/Max Length 60cm/Solitary
benthicPredatoryGrouperPeacock.jpeg	Peacock	Cephalopholis argus	Serranidae	Grouper	Benthic Predatory	Outer slopes/Max Length 60cm/Solitary
benthicPredatoryMoorishIdol.png	Moorish Idol	Zanclus cornutus		Moorish Idol	Benthic Predatory	"Lagoon and outer reefs to 180 m/Up to 16 cm/Solitary, in pairs, or groups"
benthicPredatorySnapper.jpeg	Snapper		Lutjanidae	Snapper	Benthic Predatory	"Grow to about 1m maximum and found down to 100m depth/Most are active carnivores feeding on crustaceans or other fish (few are plankton feeders)/Many species not yet evaluated for vulnerability status, but are very important commercially"
benthicPredatorySnapperBlackBanded.jpeg	Black-Banded	Lutjanus semicinctus	Lutjanidae	Snapper	Benthic Predatory	Slopes/Max Length 35cm/Solitary or groups
benthicPredatorySnapperBlueStripe.jpeg	Blue Stripe		Lutjanidae	Snapper	Benthic Predatory	
benthicPredatorySnapperCheckered.jpeg	Checkered	Lutjanus decussatus	Lutjanidae	Snapper	Benthic Predatory	Outer slopes/Max Length 35cm/Solitary or groups
benthicPredatorySnapperChinamanFish.jpeg	Chinamanfish		Lutjanidae	Snapper	Benthic Predatory	
benthicPredatorySnapperMidnight.jpeg/ benthicPredatorySnapperMidnightJuvenile.jpeg	Midnight	Macolor macularis	Lutjanidae	Snapper	Benthic Predatory	Steep slopes and walls/Max Length 60cm/Solitary or groups
benthicPredatorySnapperOneSpot.jpeg	One Spot		Lutjanidae	Snapper	Benthic Predatory	
benthicPredatorySnapperRed.jpeg	Red	Lutjanus bohar	Lutjanidae	Snapper	Benthic Predatory	Outer reefs/Max Length 75cm/Solitary or groups
benthicPredatorySnapperRussels.jpeg	Russel’s		Lutjanidae	Snapper	Benthic Predatory	
benthicPredatorySnapperSpanishFlag.jpeg	Spanish Flag	Lutjanus carponotatus	Lutjanidae	Snapper	Benthic Predatory	
benthicPredatorySnapperTwoSpot.jpeg	Two-Spot	Lutjanus biguttatus	Lutjanidae	Snapper	Benthic Predatory	Reef Slopes/Max Length 25cm/Small to large groups
benthicPredatorySweetlips.png	Sweetlips		Haemulidae	Sweetlips	Benthic Predatory	"Benthic predators eating a variety of worms, crabs and shrimp/Engage with a mutualistic relationship with cleaner gobies, allowing them to feed on their ectoparasites/Good diversity indicators and have many flagship species/They are commonly fished by locals"
benthicPredatorySweetlipsDiagonalBanded.jpeg	Diagonal-Banded	Plectorhinchus lineatus	Haemulidae	Sweetlips	Benthic Predatory	Reef slopes/Max Length 48cm/Solitary or small groups
benthicPredatorySweetlipsManySpotted.jpeg/ benthicPredatorySweetlipsManySpottedJuvenile.jpeg	Many-Spotted	Plectorhinchus chaetodonoides	Haemulidae	Sweetlips	Benthic Predatory	Reef Ledges/Max Length 72cm/Solitary
benthicPredatorySweetlipsOriental.jpeg	Oriental	Plectorhinchus vittatus	Haemulidae	Sweetlips	Benthic Predatory	Coastal Reefs/Max Length 85cm/Solitary or small groups
benthicPredatorySweetlipsRibboned.jpeg	Ribboned	Plectorhinchus polytaenia	Haemulidae	Sweetlips	Benthic Predatory	Exposed reefs/Max Length 50cm/Solitary or small groups
benthicPredatoryTriggerfish.png	Triggerfish		Balistidae	Triggerfish	Benthic Predatory	"One of the most successful invertebrate predators/They are sensitive to environmental change making them good indicators for habitat, community and diversity/Very easy to ID and important predator indicators as they feed exclusively on invertebrates"
benthicPredatoryTriggerfishBlackpatch.jpeg	Blackpatch	Rhinecanthus verrucosus	Balistidae	Triggerfish	Benthic Predatory	"Very similar species to Picasso, not to be confused"
benthicPredatoryTriggerfishBlueLined.jpeg	Blue Lined		Balistidae	Triggerfish	Benthic Predatory	
benthicPredatoryTriggerfishBlueThroat.jpeg	Blue Throat		Balistidae	Triggerfish	Benthic Predatory	
