cellImageLink,commonName,cellDescription,cellShortDescription,iucnRedListCategory,family,parentFamilly,wikipediaLink
http://media.eol.org/content/2013/11/03/02/23834_orig.jpg,Coral,Corals are marine invertebrates in the class Anthozoa of phylum Cnidaria. They typically live in compact colonies of many identical individual polyps. The group includes the important reef builders that inhabit tropical oceans and secrete calcium carbonate to form a hard skeleton.,Corals are marine invertebrates in the class Anthozoa of phylum Cnidaria.,,Coral,,https://en.wikipedia.org/wiki/Coral
http://media.eol.org/content/2015/07/03/10/39814_orig.jpg,Butterflyfish,"The butterflyfishes are a group of conspicuous tropical marine fish of the family Chaetodontidae; the bannerfishes and coralfishes are also included in this group. The approximately 129 species in 12 genera are found mostly on the reefs of the Atlantic, Indian, and Pacific Oceans. A number of species pairs occur in the Indian and Pacific Oceans, members of the huge genus Chaetodon.",The butterflyfishes are a group of conspicuous tropical marine fish of the family Chaetodontidae; the bannerfishes and coralfishes are also included in this group. ,,Chaetodontidae,,https://en.wikipedia.org/wiki/Butterflyfish
http://media.eol.org/content/2009/05/21/16/56747_orig.jpg,Benthic Predatory,"Predatory fish communities organisms that live on, in, or near the seabed, also known as the benthic zone. This community lives in or near marine sedimentary environments, from tidal pools along the foreshore, out to the continental shelf, and then down to the abyssal depths.","Predatory fish communities organisms that live on, in, or near the seabed, also known as the benthic zone.",,Benthic Predatory,,https://en.wikipedia.org/wiki/Wrasse
http://media.eol.org/content/2014/10/09/10/66013_orig.jpg,Reef Herbivorous,"Coral reef fish which live amongst or in close relation to coral reefs and feed on plants. The four largest groups of coral reef fishes that feed on plants are the parrotfishes, damselfishes, rabbitfishes, and surgeonfishes. All feed primarily on microscopic and macroscopic algae growing on or near coral reefs.",Coral reef fish which live amongst or in close relation to coral reefs and feed on plants.,,Reef Herbivorous,,https://en.wikipedia.org/wiki/Coral_reef_fish#Herbivores
http://media.eol.org/content/2016/07/21/01/30824_orig.jpg,Pelagic,"Pelagic fish live in the pelagic zone of ocean or lake waters – being neither close to the bottom nor near the shore – in contrast with demersal fish, which do live on or near the bottom, and reef fish, which are associated with coral reefs.",Pelagic fish living neither close to the bottom nor near the shore.,,Pelagic,,https://en.wikipedia.org/wiki/Pelagic_fish
,Acropora,"One of the most diverse and common families of hard coral, with over 135 species worldwide

Easily identifiable by their large axial corallite at branch tips surrounded by radial corallites

Difficult to identify to species level, so we identify by morphology","One of the most diverse and common families of hard coral, with over 135 species worldwide",,Acropora,Coral,https://en.wikipedia.org/wiki/Acropora
,Non Acropora,Corals not classified as acropora,Corals not classified as acropora,,Non Acropora,Coral,none
,Coral Famillies,Many species can be found in shape of several morphologies,,,Coral Famillies,Coral,none
,Acropora Branching,"Most common form of Acropora

Secondary branching observable

Clear terminal cup polyp, different in size

Easily observed radial polyps",,,Acropora Branching,Acropora,none
,Acropora Bottlebrush,"Large white terminal polyp

Secondary Branching

Radial polyps extending creating ‘bottlebrush’ look",,,Acropora Bottlebrush,Acropora,none
,Acropora Digitate,"Large white terminal polyp

Colonies form finger like projections

Little or no secondary branching",,,Acropora Digitate,Acropora,none
